IMDb ID,Title,Runtime (mins),Year,Genres,Release Date,IMDb Rating,Metascore,Rating,Box Office
tt1480656,Cosmopolis,109,2012,"Drama, Fantasy",5/25/2012,5.0,58,R,600000
tt1713476,The Bay,84,2012,"Horror, Sci-Fi, Thriller",9/13/2012,5.6,65,R,30474
tt1441951,Quartet,94,2012,"Comedy, Drama",9/9/2012,6.8,64,PG-13,18000000
tt1872818,Liberal Arts,97,2012,"Comedy, Drama, Music, Romance",1/22/2012,6.7,55,PG-13,317190
tt0857190,The Sweeney,112,2012,"Action, Crime, Drama",8/1/2012,6.1,48,R,26345
tt1567609,Get the Gringo,96,2012,"Action, Crime, Drama, Thriller",3/15/2012,7.0,60,R,493573
tt1770734,Shadow Dancer,101,2012,"Drama, Thriller",1/24/2012,6.2,71,R,99134
tt1242460,We Need to Talk About Kevin,112,2011,"Drama, Mystery, Thriller",5/12/2011,7.5,68,R,1738692
tt1440345,This Must Be the Place,118,2011,"Comedy, Drama",5/20/2011,6.7,61,R,142242
tt1549572,Another Earth,92,2011,"Drama, Romance, Sci-Fi",1/24/2011,7.0,66,PG-13,957752
tt1527186,Melancholia,135,2011,"Drama, Sci-Fi",5/18/2011,7.2,80,R,2900000
tt1465522,Tucker and Dale vs Evil,89,2010,"Comedy, Horror",1/22/2010,7.6,65,R,154232
tt2310332,The Hobbit: The Battle of the Five Armies,144,2014,"Adventure, Fantasy",12/1/2014,7.4,59,PG-13,187747747
tt1790864,The Maze Runner,113,2014,"Action, Mystery, Sci-Fi, Thriller",9/11/2014,6.8,57,PG-13,98537272
tt1234721,RoboCop,117,2014,"Action, Crime, Sci-Fi, Thriller",1/30/2014,6.2,52,PG-13,50666882
tt1821694,RED 2,116,2013,"Action, Comedy, Crime, Thriller",7/18/2013,6.6,47,PG-13,53215979
tt1440728,The American,105,2010,"Crime, Drama, Thriller",9/1/2010,6.3,61,R,35596227
tt0947810,Green Zone,115,2010,"Action, Drama, Thriller, War",2/26/2010,6.8,63,R,35000000
tt0842926,The Kids Are All Right,106,2010,"Comedy, Drama, Romance",1/25/2010,7.0,86,R,20803237
tt1038686,Legion,100,2010,"Action, Fantasy, Horror",1/21/2010,5.2,32,R,40168080
tt1228987,Let Me In,116,2010,"Drama, Fantasy, Horror, Mystery, Thriller",9/13/2010,7.1,79,R,12134420
tt0892318,Letters to Juliet,105,2010,"Adventure, Comedy, Drama, Romance",4/25/2010,6.6,50,PG,53021560
tt1179056,A Nightmare on Elm Street,95,2010,"Crime, Drama, Horror, Mystery",4/27/2010,5.2,35,R,63100000
tt1027718,Wall Street: Money Never Sleeps,133,2010,Drama,5/14/2010,6.2,59,PG-13,52474616
tt1637706,Our Idiot Brother,90,2011,"Comedy, Drama",1/22/2011,6.4,60,R,24600000
tt1622979,Final Destination 5,92,2011,Horror,8/4/2011,5.9,50,R,42500000
tt0810913,Jack and Jill,91,2011,Comedy,11/11/2011,3.3,23,PG,74158157
tt1634122,Johnny English Reborn,101,2011,"Action, Adventure, Comedy, Crime",9/15/2011,6.3,46,PG,8269105
tt1268799,A Very Harold & Kumar 3D Christmas,90,2011,"Adventure, Comedy",11/4/2011,6.3,61,R,34400000
tt1433822,The Apparition,83,2012,"Horror, Thriller",8/23/2012,4.1,18,PG-13,4700000
tt1792647,Cirque du Soleil: Worlds Away,91,2012,Fantasy,10/20/2012,6.8,51,PG,12495865
tt1876451,Sparkle,116,2012,"Drama, Music",8/17/2012,5.7,54,PG-13,24397469
tt2042568,Inside Llewyn Davis,104,2013,"Drama, Music",5/19/2013,7.5,93,R,9666762
tt2083379,A Dark Truth,106,2012,"Action, Thriller",9/19/2012,5.6,31,R,5750
tt2063781,Smashed,81,2012,Drama,1/22/2012,6.8,71,R,375981
tt1791614,Struck by Lightning,90,2012,"Comedy, Drama",4/21/2012,6.3,41,Not Rated,100000
tt1349451,Butter,90,2011,"Comedy, Drama",9/4/2011,6.2,40,R,70931
tt1692486,Carnage,80,2011,"Comedy, Drama",9/1/2011,7.2,61,R,2200000
tt1594562,The Innkeepers,101,2011,"Drama, Horror, Mystery",3/12/2011,5.5,64,R,77501
tt1704573,Bernie,99,2011,"Biography, Comedy, Crime, Drama",6/16/2011,6.8,75,PG-13,5900000
tt1716772,The Inbetweeners Movie,97,2011,Comedy,8/17/2011,6.8,44,R,30825490
tt1372686,Coriolanus,123,2011,"Drama, Thriller, War",2/14/2011,6.1,79,R,487578
tt1535616,The Divide,112,2011,"Action, Drama, Horror, Sci-Fi, Thriller",3/13/2011,5.8,28,R,18000
tt1456941,"Tomorrow, When the War Began",103,2010,"Action, Adventure, Drama",8/8/2010,6.2,54,R,8996537
tt1242432,I Spit on Your Grave,108,2010,"Horror, Thriller",5/1/2010,6.3,27,R,92401
tt1617661,Jupiter Ascending,127,2015,"Action, Adventure, Sci-Fi",1/27/2015,5.3,40,PG-13,43733037
tt1038919,The Bounty Hunter,110,2010,"Action, Comedy, Romance",3/11/2010,5.6,22,PG-13,66700000
tt1385867,Cop Out,107,2010,"Action, Comedy, Crime, Thriller",2/25/2010,5.6,31,R,44047293
tt0455407,The Crazies,101,2010,"Horror, Thriller",2/23/2010,6.5,55,R,38240768
tt1314655,Devil,80,2010,"Horror, Mystery, Thriller",9/16/2010,6.2,44,PG-13,33583175
tt0427152,Dinner for Schmucks,114,2010,Comedy,7/30/2010,5.9,56,PG-13,72980108
tt1179034,From Paris with Love,92,2010,"Action, Crime, Thriller",2/4/2010,6.5,42,R,23979741
tt1139328,The Ghost Writer,128,2010,"Drama, Mystery, Thriller",2/12/2010,7.2,77,PG-13,11016593
tt1320261,Gulliver's Travels,85,2010,"Adventure, Comedy, Family, Fantasy",12/22/2010,4.9,33,PG,42776259
tt1212419,Hereafter,129,2010,"Drama, Fantasy, Romance",9/12/2010,6.5,56,PG-13,32741596
tt1103153,Killers,100,2010,"Action, Comedy, Romance, Thriller",6/1/2010,5.4,21,PG-13,47000485
tt1294226,The Last Song,107,2010,"Drama, Music, Romance",3/31/2010,5.9,33,PG,42441000
tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,97,2010,"Animation, Action, Adventure, Family, Fantasy",9/23/2010,7.0,53,PG,54400000
tt0480255,The Losers,97,2010,"Action, Adventure, Crime, Mystery, Thriller",4/22/2010,6.4,44,PG-13,23400000
tt1470023,MacGruber,90,2010,"Action, Comedy, Romance",3/15/2010,5.5,43,R,8000000
tt1053424,Repo Men,111,2010,"Action, Crime, Sci-Fi, Thriller",3/19/2010,6.3,32,R,13156255
tt1564585,Skyline,92,2010,"Action, Sci-Fi, Thriller",11/11/2010,4.4,26,PG-13,12000000
tt1135084,Takers,107,2010,"Action, Crime, Thriller",8/4/2010,6.2,45,PG-13,57744720
tt1185416,When in Rome,91,2010,"Comedy, Romance",1/29/2010,5.6,25,PG-13,32578915
tt1226753,The Debt,113,2010,"Drama, Thriller",9/4/2010,6.9,65,R,31146570
tt1578275,The Dilemma,111,2011,"Comedy, Drama",1/13/2011,5.3,46,PG-13,48430355
tt1034389,The Eagle,114,2011,"Action, Adventure, Drama, History",2/9/2011,6.2,55,PG-13,19478384
tt1396218,Mr. Popper's Penguins,94,2011,"Comedy, Family, Fantasy",6/16/2011,6.0,53,PG,68100000
tt1430607,Arthur Christmas,97,2011,"Animation, Adventure, Comedy, Family, Fantasy",11/11/2011,7.1,69,PG,46440491
tt1053810,The Big Year,100,2011,Comedy,10/14/2011,6.2,53,PG,7100000
tt1462041,Dream House,84,2011,"Drama, Mystery, Thriller",9/29/2011,6.0,35,PG-13,21300000
tt1985017,Atlas Shrugged II: The Strike,111,2012,"Drama, Mystery, Sci-Fi",10/12/2012,5.4,26,PG-13,2509139
tt1568921,Kari-gurashi no Arietti,94,2010,"Animation, Adventure, Family, Fantasy",7/17/2010,7.6,80,G,19192510
tt0763831,A Thousand Words,91,2012,"Comedy, Drama",3/9/2012,5.9,26,PG-13,18429081
tt2103217,Maniac,89,2012,"Horror, Thriller",5/26/2012,6.1,47,Not Rated,20551
tt1869716,The East,116,2013,"Adventure, Drama, Thriller",1/20/2013,6.8,68,PG-13,1600000
tt1454468,Gravity,91,2013,"Drama, Sci-Fi, Thriller",8/28/2013,7.7,96,PG-13,274084951
tt1996264,"For a Good Time, Call...",85,2012,Comedy,1/26/2012,6.0,55,R,1200000
tt1935896,The ABCs of Death,129,2012,"Comedy, Horror",9/15/2012,4.7,43,Not Rated,17160
tt1545106,Vamps,92,2012,"Comedy, Horror, Romance",8/25/2012,5.2,57,PG-13,2741
tt1226240,A Late Quartet,105,2012,"Drama, Music",9/10/2012,7.1,67,R,1400000
tt2040560,The Pact,89,2012,"Horror, Mystery, Thriller",1/20/2012,5.8,54,R,1408261
tt0873886,Red State,88,2011,"Action, Crime, Horror, Thriller",1/23/2011,6.2,50,R,1000000
tt1588398,Sleeping Beauty,101,2011,"Drama, Romance, Thriller",5/11/2011,5.3,57,Not Rated,21236
tt1214962,Seeking Justice,105,2011,"Action, Crime, Drama, Mystery, Thriller",9/2/2011,6.2,38,R,410819
tt1646980,The Double,98,2011,"Action, Crime, Drama, Mystery, Thriller",10/28/2011,5.9,37,PG-13,134286
tt1675192,Take Shelter,121,2011,"Drama, Horror, Thriller",1/24/2011,7.4,85,R,1600000
